,KNN,RF,SVM
0,0.5588235294117647,0.7352941176470589,0.7058823529411765
1,0.7058823529411765,0.7647058823529411,0.7647058823529411
2,0.6176470588235294,0.6176470588235294,0.6176470588235294
3,0.2647058823529412,0.4411764705882353,0.35294117647058826
4,0.47058823529411764,0.5882352941176471,0.5588235294117647
5,0.6060606060606061,0.8181818181818182,0.8181818181818182
6,0.5757575757575758,0.6363636363636364,0.696969696969697
7,0.45454545454545453,0.6060606060606061,0.5757575757575758
8,0.696969696969697,0.7272727272727273,0.6666666666666666
9,0.6764705882352942,0.6764705882352942,0.7941176470588235
mean,0.5627450980392157,0.6611408199643495,0.6551693404634582
std,0.12866257805567452,0.10233949214740068,0.1306398676384893
